Dataset,Model,Accuracy,Precision,Recall,F1-Score
CICIDS 2017,Random Forest,0.999919890249642,0.9999307868091538,0.9999237274859346,0.9999272521376824
CICIDS 2017,AdaBoost,0.9920491072769695,0.9930877273717567,0.9888567341599229,0.9908459423957652
CICIDS 2017,LightGBM,0.9999299039684367,0.9999396728545081,0.9999378076301153,0.9999387346113525
CICIDS 2018,Random Forest,0.99999,0.9999922426499107,0.9999913965173102,0.999991819482962
CICIDS 2018,AdaBoost,0.99951,0.9996203139770948,0.9995784293482002,0.9995991301042256
CICIDS 2018,LightGBM,0.99999,0.9999922426499107,0.9999913965173102,0.999991819482962
ISCX-IDS 2012,Random Forest,1.0,1.0,1.0,1.0
ISCX-IDS 2012,AdaBoost,1.0,1.0,1.0,1.0
